"year","hour","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","segment_horari"
"2012",23,"Estiu","0","0","Bo",23.78,27.275,73,11.0014,133,"Vespre"
"2011",8,"Estiu","0","0","Molt Bo",27.88,31.82,57,0,132,"Matinada"
"2012",2,"Hivern","0","1","Molt Bo",20.5,24.24,59,0,19,"Matinada"
"2011",20,"Estiu","0","1","Dolent",25.42,28.79,83,19.9995,58,"Vespre"
"2011",17,"Estiu","0","1","Dolent",26.24,28.79,89,0,285,"Vespre"
"2011",19,"Primavera","0","1","Bo",34.44,37.12,39,22.0028,326,"Vespre"
"2012",23,"Primavera","0","1","Bo",23.78,27.275,78,7.0015,75,"Vespre"
"2011",22,"Estiu","0","1","Molt Bo",25.42,27.275,94,0,160,"Vespre"
"2011",14,"Estiu","0","1","Molt Bo",35.26,41.665,53,19.0012,134,"Matí"
"2011",13,"Hivern","0","0","Bo",18.86,22.725,72,19.9995,94,"Matí"
"2012",15,"Primavera","0","0","Molt Bo",27.06,31.06,50,15.0013,463,"Matí"
"2012",19,"Primavera","0","1","Molt Bo",19.68,23.485,31,16.9979,487,"Vespre"
"2012",22,"Estiu","0","1","Molt Bo",29.52,34.09,70,7.0015,288,"Vespre"
"2011",0,"Estiu","0","1","Molt Bo",28.7,31.82,45,7.0015,46,"Matinada"
"2011",6,"Estiu","0","1","Bo",26.24,29.545,78,16.9979,103,"Matinada"
"2012",7,"Estiu","0","1","Bo",28.7,33.335,74,7.0015,520,"Matinada"
"2011",12,"Estiu","0","1","Bo",31.16,36.365,70,19.0012,213,"Matí"
"2012",4,"Tardor","0","0","Bo",13.12,15.15,49,19.9995,16,"Matinada"
"2012",17,"Hivern","0","1","Molt Bo",17.22,21.21,32,22.0028,465,"Vespre"
"2011",1,"Primavera","0","0","Molt Bo",12.3,15.91,61,7.0015,34,"Matinada"
"2012",5,"Estiu","0","1","Molt Bo",27.06,30.305,83,11.0014,37,"Matinada"
"2012",6,"Hivern","0","1","Molt Bo",13.94,17.425,57,7.0015,88,"Matinada"
"2011",15,"Tardor","0","1","Bo",22.14,25.76,60,8.9981,191,"Matí"
"2012",13,"Estiu","0","0","Molt Bo",33.62,38.635,52,31.0009,646,"Matí"
"2011",23,"Tardor","0","0","Molt Bo",14.76,18.18,81,6.0032,25,"Vespre"
"2012",13,"Estiu","0","1","Molt Bo",36.9,38.635,25,8.9981,283,"Matí"
"2011",17,"Tardor","0","0","Molt Bo",10.66,12.88,48,15.0013,165,"Vespre"
"2012",10,"Primavera","0","1","Dolent",19.68,23.485,47,15.0013,147,"Matí"
"2012",9,"Primavera","0","1","Molt Bo",25.42,30.305,65,11.0014,366,"Matí"
"2012",1,"Tardor","0","1","Bo",12.3,15.91,65,6.0032,21,"Matinada"
"2011",23,"Estiu","0","1","Molt Bo",26.24,31.06,61,11.0014,167,"Vespre"
"2012",10,"Primavera","0","1","Molt Bo",16.4,20.455,50,19.9995,141,"Matí"
"2011",0,"Primavera","0","1","Molt Bo",18.86,22.725,72,8.9981,177,"Matinada"
"2012",4,"Primavera","0","1","Bo",22.14,25.76,77,15.0013,6,"Matinada"
"2011",8,"Hivern","0","0","Molt Bo",5.74,7.575,86,8.9981,30,"Matinada"
"2011",17,"Estiu","0","1","Molt Bo",30.34,33.335,51,15.0013,579,"Vespre"
"2012",23,"Estiu","0","1","Molt Bo",19.68,23.485,67,6.0032,123,"Vespre"
"2011",2,"Tardor","0","1","Molt Bo",19.68,23.485,77,7.0015,23,"Matinada"
"2012",6,"Primavera","0","1","Molt Bo",20.5,24.24,77,19.9995,165,"Matinada"
"2012",22,"Primavera","0","0","Molt Bo",19.68,23.485,20,12.998,182,"Vespre"
"2012",3,"Estiu","0","0","Bo",25.42,30.305,61,11.0014,55,"Matinada"
"2012",4,"Estiu","0","0","Molt Bo",25.42,29.545,73,15.0013,13,"Matinada"
"2012",1,"Primavera","0","1","Dolent",22.96,26.515,60,11.0014,14,"Matinada"
"2011",23,"Tardor","1","0","Bo",22.14,25.76,88,7.0015,75,"Vespre"
"2011",8,"Hivern","0","0","Dolent",16.4,20.455,71,15.0013,8,"Matinada"
"2012",23,"Estiu","0","1","Molt Bo",29.52,34.85,79,0,138,"Vespre"
"2011",6,"Hivern","0","0","Bo",17.22,21.21,94,23.9994,2,"Matinada"
"2011",1,"Tardor","0","1","Bo",18.86,22.725,100,16.9979,13,"Matinada"
"2011",7,"Primavera","0","0","Bo",17.22,21.21,77,6.0032,33,"Matinada"
